0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
Reservoir Dogs 15th Anniversary 2 Disc Set in Ltd Edition Gas Can,B008OKYCNY,Reservoir Dogs -,B000068U01,Pulp Fiction,B0017H5EAQ,True Romance,B008N23FRW,Kill Bill - Volume Two,B001BJ6918,Kill Bill - Volume 2,B0009KQOLU,Vol. 2,B0002849JI,"['venture', 'action', 'crime']"," Ocean's Eleven was good, but mediocre compared to this film. I can't fathom the idiocy of no taste reviewers giving this classic film one out of five stars. There's no way in the world this movie achieved a one star rating. This movie was all about taking risks. It differs from the other clone movies, such as Ocean's Eleven. Which continued to follow suit like all other movies and making it so that the movie go-er can sit back and just put their mind on autopilot, letting the movie do all the thinking for them. This film actually involed the audience this time, and asked them to think.", Classic
Masterpiece Theatre: Jane Eyre,B000LPQ6DE,Jane Eyre,B000784WMW,Persuasion 2007,B000YIGNKE,North and South,B000AYEL6U,Jane Austen Collection,B000244FFU,Little Dorrit,B001PU8N0I,Mansfield Park,B00005U1XU,"['venture', 'action', 'crime']"," I have read Jane Eyre numerous times over the years, and own both the Ciaran Hinds and the Timothy Dalton film version, as well as having seen the William Hurt version.  This is absolutely my favorite film adaptation.  Although there are some deviations from the novel, the performances/casting/scenery truly reflect the tone of the novel as well as the Romantic/Gothic setting in which it takes place.  Ruth Wilson and Toby Stevens manage to convey the passion and emotion that the former movies lacked almost entirely.  Truly Well Done!", The Best Version of Jane Eyre Yet
Groundhog Day,080017948X,50 First Dates,B000EZ7ZXQ,Bruce Almighty,B000WZAP7G,Click,B000JJJF4O,About Schmidt,B00007KGC7,The Bucket List,B0016P8OAG,Broken Flowers,B000C8Q978,"['venture', 'action', 'crime']"," Bill Murray's impeccable sense of timing, and Andie MacDowell's charm make this film of an egomaniacal weatherman caught in Time's revolving door one of the most fun-filled, comedies ever. Forced to relive the same miserable day over, and over, with consistantly hilarious changes that don't, at first, seem to be heading in any particular direction because there are no consequences for a man forced into this particular predicament, Bill's character ( Phil ) gradually begins to become human. The film is pure magic.", A CLASSIC DAY IN THE LIFE OF ONE OF CINEMA'S GREAT CLOWNS
League of Extraordinary Gentlemen,B00020HAA6,Van Helsing,B001JIHGO0,Die Another Day,B00006FMGI,X-men,B002P8ZOUQ,Fantastic Four,B000BCDV6W,Hulk,B00285K1KE,G.I. Joe: The Rise of Cobra,B002NXSRX4,"['venture', 'action', 'crime']", When I read Alan Moore's LXG comic I was impressed with his knack for cramming so many little literary easter eggs into it. There's tons of things for avid reader to spot. I wasn't very impressed by how he mucked up Quatermain and it just wasn't much of a fun read other than the literary easter eggs. Going into LXG the movie I was afraid I might be in for more of the same. I was pleasantly surprised by the movie version and liked it a lot more. No it isn't Citizen Kane (Moore's comic wasn't either) but it's terribly watchable and fun and that makes it hard for me not to like it. Don't take it seriously just grab some snacks and settle back and it's a real joy., extraordinary fun!
Desde mi Cielo,B004FPKOB6,The Lovely Bones,B003S5TOYC,Atonement,B00140PL9U,Birth,B001TDRGZO,Let Me In,B003EYVXUU,Hereafter,B004M5AOGY,Bridge To Terabithia,B000OYCM5I,"['venture', 'action', 'crime']"," I read the book a couple of months ago, out of boredom I watched the movie tonight. You know that the movie is going to be a condensed version of the book. The movie stood on it's own though, I rather enjoyed it. I rated it 3 stars because the time-line is off compared to the book, in the book it takes place over i think 12 years.. Susie's sister grows up, gets married etc.. the length of time the family grieves is what really makes the book and it's missing in the movie. Even so the movie is worth watching...."," Read the book, then watched the movie."
The Biggest Winner: How to Win by Losing- Cardio Kickbox,B000B7PNHW,Jillian Michaels Ripped in 30,B004CRR9IS,Work Out,B000BQ7J70,Shrink Your Female Fat Zones,B00009YXET,10 Min Sol:fat Blasting Dance,B000GEIRAK,Ls: 5 Mile Fat Burning Walk,B001F12ISU,Element: Ballet Conditioning,B000WC38BO,"['venture', 'action', 'crime']"," Usually either the trainer's voice or the music are so annoying I can't stand to use ""home workout videos"". But Jillian is SO motivating, gets straight to the point, doesn't waste time with stupid chit chat. I actually went and bought the Reebok step to enjoy these workouts fully (yep, I said enjoy). There's not a lot of ""stepping"" but it is used for many of the toning sections. Do a different workout 5 days a week and you WILL see results...just look at Jillian's body, she knows what she's doing!", 5-DVD Set- LOVE IT!
"Run, Lola, Run",B00004RJEB,Run Lola Run,B003WT75TU,Waking Life,B000063K62,Vanilla Sky,B003IZ8K6K,Irreversible,B00156VGX8,Irréversible,B00008YNI2,Identidad Desconocida,B000UUX2NC,"['venture', 'action', 'crime']"," Lola is a girl stuck in a dilemna:  how to save her boyfriend from being killed.  So, in the spirit of Groundhog Day, she keeps repeating the day over and over again until she gets it right.  But unlike Groundhog Day, this indie film has an edgy style, mixed with a punkish Lola and cartoonish pop culture animation.  Without giving away too  much, she somehow ends up solving her dilemna but after several crazy attempts that shed light into her own seemingly average, but soon-to-be complicated life.", Captivating Indie
Dead Like Me: Life After Death,B001TCXN7U,Gilmore Girls: Season 7,B000N6TYLW,Angel,B0006IWQK8,Lost: Season 6 - Final Season,B0036EH3XE,Gilmore Girls: Season 6,B000G1R4SY,Farscape,B0006FO9B0,Stargate Universe SG-U: 1.0,B002R8JG58,"['venture', 'action', 'crime']", loved the series but HATE this movie....i can deal with it not having the pizzazz as the series but OMG..who in the world cast that chick as Daisy....she SUCKS!!!! royally....she brings down the whole show...it almost as painful as watching Maria Bello play Evy on the mummy 3......if you have a star that just killed a role and just cant be replaced then just don't bother....remove the character and replace it with a new one instead of casting these actresses that just ruin the show for everybody, THIS SUCKS
Romeo + Juliet,B000053V0Q,Romeo & Juliet,630438551X,Romeo And Juliet,B00008G7UJ,Hamlet,B000GT7XXW,West Side Story,B00008FEBW,Brick,B0057GUE3K,10 Things I Hate About You,B00004D2YN,"['venture', 'action', 'crime']"," I love this version because it is so different.  What a novel take on the classic.  While I agree that some scenes are not what Shakespeare intended them to be, I think the acting is great and the chemistry between Daines and Decaprio is unmistakable. I teach the play to 9th graders, then follow up with the movie.  They understand the play so much better after the movie, and I have had students each year who go out and buy a copy of the movie for themselves.  A great idea is to use the differences between the play and the movie as a teaching and learning tool and have students write about them.", I think it's fabulous
Dark City,B0010T7R5G,Pandorum,B002QW7ALM,Ghost in the Shell,6304539495,Kôkaku kidôtai,B00009PAFF,Minority Report,B000067FYY,Moon,B002T9H2ME,Event Horizon,B00157TR6U,"['venture', 'action', 'crime']"," As a film, I think it is best to say that this is a more defined story along the lines of THE CUBE.<br /><br />It is not until the big reveal at the end that you discover why things are so undeveloped, and why no-one can remember when, specifically, they last saw the sun.<br /><br />This is a great film to watch, and like all of Alex Proyas's work I know of, it is a very fulfilling story... at least on an entertainment level.<br /><br />All the actors are well crafted in their roles, and fulfill  their acting roles in superb  form. Lots of material left to the imagination ... both visual and ( not in a pretentious manner) literary in a good way.", Excellent Viewing
